source,date,new_cases,deaths,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99
https://coronavirus.bg/bg/news/2573,05-10-2021,2806,178,0,0,1,0,0,0,2,0,5,2,5,13,22,25,40,27,22,11,3,0
https://coronavirus.bg/bg/news/2565,04-10-2021,513,43,0,0,0,0,0,0,0,0,0,0,2,1,5,4,7,12,8,3,0,1
https://coronavirus.bg/bg/news/2563,03-10-2021,1228,26,0,0,0,0,0,0,0,0,0,0,1,1,4,6,6,4,4,0,0,0
https://coronavirus.bg/bg/news/2560,02-10-2021,2091,87,0,0,0,0,1,0,0,3,0,3,4,9,8,15,17,11,11,2,3,0
https://coronavirus.bg/bg/news/2550,01-10-2021,2050,70,0,0,0,0,0,1,0,1,1,2,1,3,6,11,15,16,9,1,3,0
https://coronavirus.bg/bg/news/2543,30-09-2021,2142,87,0,0,0,1,0,0,0,0,0,2,2,4,11,10,11,20,18,7,1,0
https://coronavirus.bg/bg/news/2539,29-09-2021,2573,87,0,0,0,0,0,0,0,1,2,2,6,8,5,14,11,12,15,10,1,0
https://coronavirus.bg/bg/news/2530,28-09-2021,2536,149,0,0,0,0,1,0,1,2,3,1,6,7,16,17,27,29,26,9,3,1
https://coronavirus.bg/bg/news/2521,27-09-2021,496,40,0,0,0,0,0,0,2,0,1,1,1,5,3,2,7,6,4,7,1,0
https://coronavirus.bg/bg/news/2514,24-09-2021,1835,99,0,0,0,0,0,0,0,1,0,4,8,1,11,13,21,14,17,6,3,0
https://coronavirus.bg/bg/news/2520,26-09-2021,1038,26,0,0,0,0,0,0,0,0,0,2,0,7,3,1,2,4,5,2,0,0
https://coronavirus.bg/bg/news/2519,25-09-2021,1904,73,0,0,0,0,0,1,1,0,2,3,2,0,6,8,18,18,7,5,2,0
https://coronavirus.bg/bg/news/2507,23-09-2021,850,27,0,0,0,0,0,0,1,0,1,0,0,0,3,5,6,3,6,1,1,0
https://coronavirus.bg/bg/news/2506,22-09-2021,2192,58,0,0,0,0,0,0,0,0,0,0,3,2,6,5,11,9,10,11,1,0
https://coronavirus.bg/bg/news/2498,21-09-2021,2360,138,0,1,0,0,0,1,2,2,5,5,7,5,13,20,23,29,15,9,0,1
https://coronavirus.bg/bg/news/2491,20-09-2021,458,43,0,0,0,0,0,0,0,0,2,2,0,1,8,3,3,8,4,7,4,1
https://coronavirus.bg/bg/news/2487,19-09-2021,951,30,0,0,0,0,0,0,0,1,0,1,1,3,0,7,4,4,5,4,0,0
https://coronavirus.bg/bg/news/2485,18-09-2021,1892,79,0,0,0,0,2,0,0,0,1,4,0,4,5,12,10,19,9,10,3,0
https://coronavirus.bg/bg/news/2477,17-09-2021,1724,67,0,0,0,0,0,0,0,1,5,2,4,2,6,8,11,17,5,4,2,0
https://coronavirus.bg/bg/news/2468,16-09-2021,1862,65,0,0,0,0,0,0,0,0,2,2,3,3,8,10,18,4,8,5,2,0
https://coronavirus.bg/bg/news/2460,15-09-2021,2029,82,0,0,0,0,1,0,0,0,2,1,5,9,9,12,15,18,4,6,0,0
https://coronavirus.bg/bg/news/2457,14-09-2021,1998,139,0,0,0,1,0,0,0,1,3,1,5,9,14,24,37,25,14,2,3,0
https://coronavirus.bg/bg/news/2440,12-09-2021,909,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,0,1,0,0
https://coronavirus.bg/bg/news/2443,13-09-2021,437,53,0,0,0,0,0,0,0,0,0,1,0,4,4,8,13,10,5,4,4,0
https://coronavirus.bg/bg/news/2438,11-09-2021,1626,72,0,0,0,0,0,0,0,1,1,4,4,4,8,7,9,20,6,6,1,1
https://coronavirus.bg/bg/news/2428,10-09-2021,1629,52,0,0,0,0,0,0,0,0,0,0,4,3,6,7,14,3,9,4,2,0
https://coronavirus.bg/bg/news/2418,09-09-2021,1956,65,0,0,0,0,0,0,2,2,1,3,3,7,8,14,7,8,5,4,1,0
https://coronavirus.bg/bg/news/2404,08-09-2021,2005,121,0,0,0,0,0,0,3,0,1,2,8,8,11,22,20,19,18,9,0,0
https://coronavirus.bg/bg/news/2398,07-09-2021,677,33,0,0,0,0,1,0,0,0,0,0,2,1,4,6,7,4,5,3,0,0
https://coronavirus.bg/bg/news/2390,04-09-2021,1640,50,0,0,0,0,0,0,0,0,0,0,2,8,2,7,12,9,4,6,0,0
https://coronavirus.bg/bg/news/2395,06-09-2021,488,32,0,0,0,0,0,0,1,0,0,0,3,4,2,6,8,3,1,3,1,0
https://coronavirus.bg/bg/news/2384,03-09-2021,1564,51,0,0,0,0,0,0,1,1,2,5,3,2,10,5,5,11,4,2,0,0
https://coronavirus.bg/bg/news/2392,05-09-2021,854,32,0,0,0,0,0,0,0,0,0,0,4,0,4,3,9,3,4,4,1,0
https://coronavirus.bg/bg/news/2376,02-09-2021,1745,54,0,0,0,0,0,0,1,3,1,2,1,4,3,6,10,14,3,5,0,1
https://coronavirus.bg/bg/news/2367,01-09-2021,2053,56,0,0,0,0,1,0,1,0,1,2,5,1,8,9,8,6,7,5,0,2
https://coronavirus.bg/bg/news/2360,31-08-2021,2090,109,0,0,0,0,0,0,1,2,0,3,2,9,10,17,30,17,6,7,4,1
https://coronavirus.bg/bg/news/2348,30-08-2021,451,26,0,0,0,0,0,0,0,0,1,0,1,2,3,2,7,4,5,0,1,0
https://coronavirus.bg/bg/news/2344,29-08-2021,1004,15,0,0,0,0,1,0,0,0,0,1,3,1,1,4,0,1,3,0,0,0
https://coronavirus.bg/bg/news/2343,28-08-2021,1713,43,0,0,0,1,0,1,1,0,2,2,1,10,3,1,8,4,5,3,1,0
https://coronavirus.bg/bg/news/2333,27-08-2021,1733,34,0,0,0,0,0,0,0,1,2,0,2,0,3,4,7,6,4,4,0,1
https://coronavirus.bg/bg/news/2325,26-08-2021,1601,48,0,0,0,0,0,0,0,1,2,3,4,2,4,5,12,7,5,3,0,0
https://coronavirus.bg/bg/news/2318,25-08-2021,1911,33,0,0,0,0,0,0,0,0,0,1,2,2,5,3,3,11,2,4,0,0
https://coronavirus.bg/bg/news/2306,24-08-2021,1891,57,0,0,0,0,0,1,0,0,1,3,4,6,6,7,12,6,6,2,3,0
https://coronavirus.bg/bg/news/2298,23-08-2021,384,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,0,0
